Doc_i;ID_i;Doc_j;ID_j;Cosine Similarity
1171;11621;1172;11622;0,9186699
1171;11621;1173;11623;0,9186699
1171;11621;1202;12289;0,5568511
1171;11621;1927;11625;0,7707124
1171;11621;2774;56027;0,5584364
1172;11622;1173;11623;0,9999999
1172;11622;1202;12289;0,5967751
1172;11622;1209;12448;0,5182654
1172;11622;1927;11625;0,8460535
1172;11622;1982;16525;0,5250666
1172;11622;2774;56027;0,6485366
1173;11623;1202;12289;0,5967751
1173;11623;1209;12448;0,5182654
1173;11623;1927;11625;0,8460535
1173;11623;1982;16525;0,5250666
1173;11623;2774;56027;0,6485366
1192;12045;2085;20755;0,6610448
1196;12130;3427;123344;0,5006301
1202;12289;1209;12448;0,5111709
1202;12289;1927;11625;0,6157123
1202;12289;1982;16525;0,5001549
1209;12448;1927;11625;0,5260661
1212;12506;2924;67045;0,5045993
1214;12518;1369;19294;0,5516486
1216;12561;1279;15106;0,7546479
1216;12561;1307;16870;0,5294665
1216;12561;1309;17007;0,7244972
1216;12561;1918;10501;0,6157731
1219;12573;2181;25449;0,5008065
1220;12599;1291;16039;0,5175077
1230;13050;1888;2719;0,5680375
